code,term
94375005,GNH0033_LungCancer_OpenSafelyCodelist
94376006,GNH0033_LungCancer_OpenSafelyCodelist
94379004,GNH0033_LungCancer_OpenSafelyCodelist
94391008,GNH0033_LungCancer_OpenSafelyCodelist
94399005,GNH0033_LungCancer_OpenSafelyCodelist
94406009,GNH0033_LungCancer_OpenSafelyCodelist
94436000,GNH0033_LungCancer_OpenSafelyCodelist
94437009,GNH0033_LungCancer_OpenSafelyCodelist
94454001,GNH0033_LungCancer_OpenSafelyCodelist
94458003,GNH0033_LungCancer_OpenSafelyCodelist
94473002,GNH0033_LungCancer_OpenSafelyCodelist
94488007,GNH0033_LungCancer_OpenSafelyCodelist
94493005,GNH0033_LungCancer_OpenSafelyCodelist
94495003,GNH0033_LungCancer_OpenSafelyCodelist
94496002,GNH0033_LungCancer_OpenSafelyCodelist
94498001,GNH0033_LungCancer_OpenSafelyCodelist
94499009,GNH0033_LungCancer_OpenSafelyCodelist
94507002,GNH0033_LungCancer_OpenSafelyCodelist
94515004,GNH0033_LungCancer_OpenSafelyCodelist
94522007,GNH0033_LungCancer_OpenSafelyCodelist
94523002,GNH0033_LungCancer_OpenSafelyCodelist
94524008,GNH0033_LungCancer_OpenSafelyCodelist
94534004,GNH0033_LungCancer_OpenSafelyCodelist
94581003,GNH0033_LungCancer_OpenSafelyCodelist
94599006,GNH0033_LungCancer_OpenSafelyCodelist
94607007,GNH0033_LungCancer_OpenSafelyCodelist
94613003,GNH0033_LungCancer_OpenSafelyCodelist
94616006,GNH0033_LungCancer_OpenSafelyCodelist
94639000,GNH0033_LungCancer_OpenSafelyCodelist
94640003,GNH0033_LungCancer_OpenSafelyCodelist
94641004,GNH0033_LungCancer_OpenSafelyCodelist
94656008,GNH0033_LungCancer_OpenSafelyCodelist
94667009,GNH0033_LungCancer_OpenSafelyCodelist
94670008,GNH0033_LungCancer_OpenSafelyCodelist
94677006,GNH0033_LungCancer_OpenSafelyCodelist
94678001,GNH0033_LungCancer_OpenSafelyCodelist
94679009,GNH0033_LungCancer_OpenSafelyCodelist
94680007,GNH0033_LungCancer_OpenSafelyCodelist
94682004,GNH0033_LungCancer_OpenSafelyCodelist
109366009,GNH0033_LungCancer_OpenSafelyCodelist
109367000,GNH0033_LungCancer_OpenSafelyCodelist
109368005,GNH0033_LungCancer_OpenSafelyCodelist
109369002,GNH0033_LungCancer_OpenSafelyCodelist
109370001,GNH0033_LungCancer_OpenSafelyCodelist
109371002,GNH0033_LungCancer_OpenSafelyCodelist
